Экспериментально полученные данные (20 инстансов для каждой постановки)
N            avg(p)               min(p)
10      0.9705632834552673  0.9119361767413316     
20      0.965717534168806   0.9415395284327324  
50      0.9747402612091676  0.9669140136705764  
100     0.9827813901917486  0.9752207777960616  
200     0.989555827078164   0.9852273349017892  
500     0.996174323919854   0.9951742570756895
1000    0.9986165673172855  0.9979894541178256
Теоретическая точность
N              p
10      0.3258443221919622
20      0.5258443221919623
50      0.7257874312329788
100     0.8213039559891064
200     0.8814610805479905
500     0.9334468578082447
1000    0.9573259889972766
